PolicyRef,Agent Code,InceptionDate,ProductClass,syspolicytype,Claim,Claim Dates
32757ZCGV,OE65SP,30-Sep-22,Retail,OM,73797.7632,15-Nov-22
32870JMUG,DE76BP,01-Jun-21,Property,OM,86460.3432,07-Jul-21
32873POAV,IT70SF,23-Apr-22,Infra,OM,71755.4334,04-Jun-22
32886AILO,RF67HQ,01-Dec-21,Const,OM,73219.1418,30-Jun-22
32904FEZM,KL84PS,01-May-21,Non Marine,OM,150469.7096,27-Aug-21
32909HYHN,IU75CF,15-Jun-22,Casualty,OM,97659.5088,22-Jul-22
32959WOHK,XZ76IR,31-Aug-21,Non Marine,OM,18747.547,03-Nov-21
32963HSAQ,LE79SQ,13-Jan-21,Property,OM,15634.283,23-Mar-21
32964IZRV,ZP90RU,01-Oct-22,Non Marine,OM,16960.2132,25-Oct-22
33030JPDA,JD88RY,01-Jan-22,Property,ELT,107800.098,13-Feb-22
33052WEWY,OC84KI,01-Mar-21,Non Marine,OM,42068.8814,06-Apr-21
33083JYAY,RU83OL,01-Jan-22,Non Marine,ELT,59368.596,20-Feb-22
33084MGWO,LU87SE,17-Mar-21,Non Marine,OM,115003.637,09-Aug-21
33116HUGS,DL87BQ,31-Jan-22,Property,OM,91858.9672,10-Mar-22
33130TCXP,IT70SF,23-Sep-21,Infra,OM,21926.52,17-Nov-21
33203RFIL,DO88WH,01-Jan-22,Const,OM,57317.4168,06-Feb-22
33260GURN,SD74LV,28-Nov-21,Property,OM,100375.8336,31-Jan-22
33267QKLY,SZ86PZ,02-Mar-22,Casualty,OM,36517.3578,29-May-22
33288TOMF,MN85HV,06-Dec-21,Non Marine,OM,17756.963,27-Jul-22
33303IBNR,RW79IT,01-Jul-22,Const,OM,187360.32,23-Aug-22
33308EXPR,YE82AE,04-Sep-21,Non Marine,OM,120369.9112,29-Mar-22
33353YWDU,QW76IM,31-Jul-21,Casualty,OM,32848.8944,22-Mar-22
33368YANW,OS68BD,01-Jan-21,Retail,OM,93202.5276,15-Apr-21
33370LLSG,ZE69JG,29-Jun-21,Property,OM,30831.7506,04-Dec-21
33381FIFR,BV82PH,01-Jun-21,Non Marine,OM,10965.0436,24-Sep-21
33393AZOT,TL84WA,20-Jul-22,Non Marine,OM,10745.798,21-Sep-22
33395CUWP,ZS87QX,24-May-21,Non Marine,OM,59590.517,16-Jul-21
33444HVUK,BE79UR,01-Oct-22,Non Marine,OM,48963.3872,05-Oct-22
33470CLAV,WJ88TU,13-Mar-22,Property,OM,165143.328,27-Apr-22
33494HIOL,PJ68IG,01-Apr-21,Energy,OM,170834.9916,10-Aug-21
33507OGVO,XF90SP,11-Jul-22,Non Marine,OM,169607.0026,04-Oct-22
33532LVTK,CO88KO,10-Mar-21,Property,OM,118312.9794,11-Sep-21
33575HWQN,PE88NZ,01-Jan-22,Non Marine,OM,88561.6494,11-Feb-22
33589OBWH,BR89CJ,01-Jan-22,Non Marine,ELT,104985.146,13-Feb-22
33654CRCC,ZL90RT,01-Jun-21,Retail,OM,149827.104,02-Oct-21
33701CJNY,SA75HH,01-Jun-22,Property,OM,67887.834,27-Jul-22
33771UJCV,ZR66TT,24-Aug-21,Non Marine,OM,75114.5304,26-Apr-22
33845DKOY,VJ74JM,20-Jun-22,Non Marine,OM,79994.4894,10-Sep-22
33848BUNT,HI81EO,01-Jan-21,Non Marine,BON,107626.6968,29-Aug-21
33857DVRL,QW76IM,01-Jun-22,Casualty,OM,177558.458,05-Aug-22
33871LHNU,EQ69KF,06-May-22,Infra,OM,169182.1432,18-Jul-22
33877LJBI,XC69MS,01-Jan-22,Retail,CVR,111819.1368,18-Feb-22
33889NDSK,XT84ZF,07-Nov-22,Non Marine,OM,149498.7648,17-Nov-22
33913GPYG,EX76GW,01-Apr-21,Aviation,OM,35703.36,15-Jun-21
33919TDWZ,AD77SJ,15-Dec-21,Aviation,OM,16127.6346,22-Feb-22
33993GZHO,HY70XF,19-Nov-21,Non Marine,OM,122799.8016,15-May-22
34017YHGE,QW76IM,01-Jan-22,Casualty,OM,149123.3856,04-Feb-22
34035HEJT,XY67XZ,16-Feb-22,Non Marine,OM,173532.7552,06-May-22
34046GNGB,JD88RY,01-Oct-21,Infra,ELT,156648.492,01-Jan-22
34055ITRI,TI86PP,06-Sep-21,Const,OM,110150.8926,19-Nov-21
34071LVOF,JK88XY,01-Apr-21,Const,OM,85457.421,29-May-21
34075IEHT,OU71YP,31-Oct-21,Non Marine,OM,32916.338,13-Feb-22
34094PNRZ,KC90JD,01-Jul-21,Non Marine,OM,25241.2818,06-Aug-21
34138SXIU,KE75NA,24-Jan-21,Const,OM,187176.864,03-Apr-21
34168PDWX,OV81VM,31-Mar-21,Infra,OM,35208.2934,01-May-21
34190NJKV,VI74EK,15-Sep-21,Non Marine,OM,132961.4118,24-Apr-22
34203ZHNR,TL84WA,27-Jun-22,Non Marine,OM,146678.5306,10-Aug-22
34206DLKI,VI73SU,18-Apr-22,Retail,OM,67799.4184,30-Jun-22
34257OQAZ,XH90XJ,31-Mar-22,Non Marine,OM,25103.3664,15-May-22
34332NNKG,AF77ZT,18-Dec-21,Const,OM,160599.803,29-Mar-22
34334KDKW,EQ83JH,01-Feb-21,Non Marine,OM,140269.017,07-Jul-21
34337WTEC,CB88HJ,30-Jun-22,Non Marine,OM,153394.6176,28-Aug-22
34389TIYW,GP73DN,31-May-22,Non Marine,OM,153999.552,21-Aug-22
34419OCLA,HA70WD,24-Oct-21,Property,OM,27491.5872,20-Jan-22
34421BTOB,FT88QO,20-Feb-21,Property,OM,70499.975,16-Apr-21
34434XOWY,XB70ID,31-Mar-21,Non Marine,OM,68686.5928,31-Jul-21
34454GJHU,YL70TR,09-Apr-21,Non Marine,OM,148456.1232,05-Sep-21
34485DWJO,TO73NI,01-Aug-21,Casualty,OM,155872.2144,02-Apr-22
34516XOZK,SI71VK,12-Oct-22,Property,OM,41501.5104,09-Nov-22
34548UTOX,JE73SU,01-Apr-21,Casualty,OM,157687.4292,19-May-21
34555CQCK,VG74JI,01-Apr-22,Retail,OM,16424.4472,22-May-22
34556WAJU,ZV68UK,08-Jul-21,Const,OM,173992.1204,16-Feb-22
34579YIDX,VE66IK,01-Apr-22,Non Marine,OM,82035.996,27-May-22
34590VRDV,ET71BP,01-Apr-22,Non Marine,OM,157411.0692,17-May-22
34591XUXK,TI87NG,01-Jan-22,Infra,OM,75113.8444,08-Mar-22
34616QVEM,BP76EO,15-Mar-21,Const,OM,110790.4112,16-Oct-21
34622ALCZ,TM67DP,31-Dec-21,Non Marine,OM,123838.778,19-Mar-22
34632TJVS,ZO71GB,20-Feb-22,Property,OM,155710.6124,18-May-22
34678PLFQ,UB71CE,01-Apr-22,Retail,OM,153014.505,30-Jun-22
34718WSYO,BZ89II,01-Jan-21,Infra,PRT,24630.1244,22-Jun-21
34720LJID,KI88NZ,12-Aug-22,Property,OM,56326.6368,26-Sep-22
34720NLQA,QC67CS,01-Aug-22,Retail,OM,165456.7516,09-Oct-22
34721JEGS,CD87DD,20-Feb-22,Property,OM,167146.056,25-Mar-22
34722MOEF,DU68OL,01-Jul-21,Property,OM,85290.772,01-Sep-21
34747GRCB,ME74GU,30-Apr-21,Non Marine,OM,14047.859,14-Jul-21
34751RVYU,MD80BU,01-Oct-21,Property,OM,168295.743,17-Apr-22
34752QLLO,SW66SU,01-Jul-21,Infra,OM,81115.6486,16-Feb-22
34762GZNV,KA73TK,20-Oct-21,Property,OM,31605.5292,22-Dec-21
34763AUTJ,FP65WS,01-Oct-22,Non Marine,OM,26922.756,05-Nov-22
34819DFXL,LS82ZY,01-Apr-22,Non Marine,OM,134889.2776,05-Jun-22
34820NCDO,GU77WE,11-May-22,Retail,OM,160323.4626,25-Jul-22
34825IXPS,PV82DZ,01-Oct-21,Non Marine,OM,37155.0438,14-Dec-21
34840RELU,SQ80HN,14-Apr-22,Infra,OM,193757.6718,18-Jun-22
34853VVGO,TN69KE,11-Dec-21,Property,OM,165733.092,31-Jul-22
34895JQBV,DU71LX,24-Dec-21,Aviation,OM,72670.1066,28-Jan-22
34904MRKH,PF78XN,15-Jun-21,Property,OM,35723.2344,21-Jan-22
34910PYPL,KV66BX,01-Jan-22,Casualty,ELT,144159.5092,18-Feb-22
34929TLQD,XT84ZF,12-Apr-22,Non Marine,OM,17052.1078,17-May-22
34996XLHE,LH80MF,28-Jul-21,Aviation,OM,111454.4886,24-Mar-22
35066BPWQ,HU90DH,14-Apr-22,Non Marine,OM,43985.095,11-Jul-22
35076SQUS,NO88CQ,01-Apr-22,Non Marine,OM,78950.662,28-May-22
35080DYAF,OQ75MP,01-Jan-22,Accident,OM,137616.0786,15-Feb-22
35080HPWH,NC90OI,01-May-22,Non Marine,OM,146555.7366,25-Jun-22
35085NIWS,TO73NI,01-Jul-22,Casualty,OM,69852.7536,27-Aug-22
35097SHLV,VA83CJ,26-Sep-22,Non Marine,OM,74643.464,13-Oct-22
35105KHCM,AW73XE,22-Oct-22,Casualty,OM,90826.4784,05-Nov-22
35118HDTA,LK66CC,12-Jul-21,Non Marine,OM,76009.0254,10-Sep-21
35120QADR,ZJ79WM,01-Apr-22,Retail,OM,59449.7106,26-May-22
35136NYRB,YI70ZK,01-Jan-22,Casualty,PRT,96934.789,19-Feb-22
35152IPMY,TL84WA,19-Feb-22,Non Marine,OM,126339.4048,05-May-22
35172ODGH,ZW67OZ,28-Mar-21,Non Marine,OM,16846.396,07-Sep-21
35182SXJD,BZ89II,01-Jan-22,Non Marine,PRT,158458.7382,03-Mar-22
35249KQTA,NG73DI,09-May-22,Aviation,OM,110255.7624,15-Jul-22
35285LGNH,XO82YS,07-Oct-21,Aero,BON,40929.9842,16-Nov-21
35286MTSI,RL87FF,15-Jun-21,Casualty,OM,17067.2684,21-Jul-21
35335VTEL,XD67DG,14-Jun-22,Non Marine,OM,115615.7744,05-Sep-22
35344PUAG,MD80BU,01-May-21,Property,OM,145496.043,18-Sep-21
35364ESNE,MR75AU,01-Oct-21,Non Marine,OM,190685.0484,18-Jan-22
35377DJZR,UK80IH,01-Dec-21,Non Marine,OM,29283.5466,22-Jul-22
35382TEAB,ME74GU,01-Jun-21,Retail,OM,20668.2,12-Sep-21
35397QHCV,MT84OW,30-Jun-21,Casualty,OM,103172.5576,03-Jan-22
35400KTZG,XF90SP,07-Apr-22,Non Marine,OM,125415.6176,22-Jun-22
35403JZKP,ER81KZ,30-Oct-21,Non Marine,OM,169047.0992,08-Jun-22
35430QMDP,WJ88TU,01-Nov-22,Property,OM,173433.9222,21-Nov-22
35433OAMW,TR87YS,01-Apr-21,Infra,OM,185342.2844,16-Jul-21
35503XCBE,NI70DC,31-May-21,Non Marine,OM,139161.96,05-Nov-21
35513YQFA,HH89JD,22-Mar-21,Const,OM,105894.4194,15-Aug-21
35515LNFE,XQ65CT,01-Jan-22,Non Marine,ELT,59267.2444,15-Mar-22
35565PFGE,IZ83UA,31-Mar-21,Infra,OM,92536.7352,25-Oct-21
35581UNVM,NY67PR,01-Jul-22,Aviation,OM,25888.6404,21-Sep-22
35583GBKW,RY67XF,15-Jul-21,Property,OM,96826.4108,13-Feb-22
35687RDEC,OV81VM,15-Oct-21,Infra,OM,154232.8312,25-Jan-22
35712EEMI,SX76PO,01-Apr-22,Non Marine,OM,82059.5944,15-Jun-22
35712VAZQ,QF80BC,07-May-22,Non Marine,OM,109261.9836,17-Jul-22
35749KGLF,FM76TR,01-Jan-22,Property,OM,62873.811,01-Apr-22
35764STHC,UE71VC,01-Apr-21,Casualty,PRT,100021.7008,13-Nov-21
35768EVDP,NJ72BS,01-Jul-21,Non Marine,OM,148290.7776,15-Nov-21
35785DWUB,VJ74JM,31-Oct-21,Non Marine,OM,74317.0848,20-Feb-22
35791SVCN,BQ86ZC,04-Aug-22,Non Marine,OM,97673.6404,23-Sep-22
35806WZBG,TZ83BF,28-Jun-22,Non Marine,OM,175860.0494,05-Sep-22
35809SXVH,ZO67YU,15-Sep-21,Non Marine,OM,173257.14,05-Jan-22
35813OGKS,WM68BF,03-Oct-21,Infra,OM,129185.3248,06-Jan-22
35856BCMK,PS71FE,01-Jul-21,Infra,OM,71350.1348,26-Aug-21
35863EEOR,CP68RN,24-Jan-22,Property,OM,65507.9236,10-Apr-22
35881PBBL,XM87JQ,01-Apr-22,Casualty,OM,90855.8784,12-Jun-22
35886OZLA,MF78LI,01-Jan-22,Non Marine,OM,29619.5886,15-Feb-22
35887INHH,GD65BN,24-Aug-22,Retail,OM,136489.1668,08-Nov-22
35887MBZY,ER78YW,01-Jan-21,Const,OM,136500.3486,10-Jun-21
35900CTMT,HZ69XY,09-Feb-21,Non Marine,OM,28823.2504,19-Jun-21
35901CXFD,RF84CH,01-Jan-22,Infra,ELT,157030.7508,09-Feb-22
35903SWNI,UX75GG,04-May-22,Non Marine,OM,143099.208,18-Jun-22
35905KEFU,LI65PI,31-May-22,Const,OM,89625.2532,07-Aug-22
35910FBPW,EQ87SY,31-Dec-21,Accident,OM,153153.224,17-Aug-22
35924EZNF,TT74JE,01-Jan-21,Casualty,ELT,81910.0464,06-Apr-21
35931ZDBA,RR70UI,11-May-22,Casualty,OM,166764.836,08-Aug-22
35956UBXL,EP67GJ,01-Jun-21,Infra,OM,145061.1288,23-Jan-22
35971NTOC,LK77WA,01-Jan-21,Non Marine,OM,20292.1936,09-Jul-21
35975FRTD,UV71IT,01-Feb-22,Non Marine,OM,158085.9756,05-Apr-22
35996HGFB,PJ77NK,07-Dec-21,Property,OM,144014.8612,05-Jun-22
36001MAIJ,KF82AD,31-Jul-21,Const,OM,170977.2288,12-Dec-21
36041ILZG,ZX78JI,28-Feb-22,Non Marine,OM,139918.3632,22-May-22
36042XWZZ,MU89OH,01-Jun-21,Casualty,OM,118537.2524,27-Sep-21
36064XKCL,UK80IH,01-Mar-21,Non Marine,OM,88198.0008,11-Apr-21
36087SBWQ,FE78NW,01-Jan-21,Infra,ELT,56960.6772,07-May-21
36096HHWC,PN81VF,01-Jan-22,Non Marine,OM,124711.1152,05-Feb-22
36126BJWB,XD67DG,18-Sep-22,Non Marine,OM,73331.5968,01-Oct-22
36137DOJQ,PP88CO,04-Apr-21,Infra,OM,157591.5264,16-Jul-21
36149AGZT,MR75AU,01-Oct-21,Non Marine,OM,68753.664,26-Nov-21
36149YJFT,UF87UT,01-Jul-22,Property,OM,135447.4758,04-Aug-22
36167RZOU,OQ76CG,30-Jun-22,Infra,ELT,40525.1756,20-Sep-22
36168LIVP,OC84KI,18-Oct-21,Non Marine,OM,89654.2024,19-Mar-22
36187BKJS,RW79IT,01-Jan-21,Const,OM,125672.0346,13-Mar-21
36194STVD,UV66WD,03-Jun-22,Aviation,OM,162631.2548,07-Aug-22
36225QQIN,IF68HA,10-Sep-21,Property,OM,148970.241,08-Jan-22
36246FUKQ,YB69TG,09-Mar-21,Property,OM,54298.1348,07-Nov-21
36249ZUWZ,EQ69KF,01-May-22,Infra,OM,12887.6076,12-Jul-22
36275RLSD,GZ79EU,01-Apr-21,Infra,OM,127210.811,22-Aug-21
36285PLLR,CT87OW,02-Jul-21,Infra,OM,72144.8364,07-Dec-21
36286DRTX,QL84CK,01-Oct-22,Non Marine,OM,106960.4928,16-Nov-22
36305EFAL,OV81VM,26-Aug-22,Infra,OM,158517.45,30-Sep-22
36318JVST,RS66XZ,30-Sep-21,Property,OM,18760.7574,30-Apr-22
36321JWZG,WT82BV,01-Apr-21,Property,OM,144821.5972,20-Sep-21
36331FJVT,YL69OD,01-Nov-21,Property,OM,163688.1064,11-Jun-22
36346IOPD,UB69OU,01-Apr-22,Non Marine,OM,151789.8088,19-Jun-22
36346LMXI,FB80NS,01-May-21,Non Marine,OM,80365.782,09-Oct-21
36379JHFW,QA68JH,01-Oct-21,Non Marine,OM,21441.5474,18-Mar-22
36405DBXU,YE82AE,01-Jan-22,Non Marine,OM,120371.5968,15-Feb-22
36415HIGF,YC78SG,18-Jan-21,Casualty,OM,163832.7936,12-Jun-21
36537NITQ,DE66OX,01-Jan-22,Energy,OM,54764.9088,13-Mar-22
36556BUMO,EP67GJ,07-Mar-22,Infra,OM,132730.8864,30-Apr-22
36561BUWZ,JB87WL,15-Sep-21,Const,OM,162646.8368,14-May-22
36601AOCL,PX68DP,01-Apr-22,Infra,OM,52333.1564,21-Jun-22
36624DHNI,ZS87QX,02-Jun-22,Non Marine,OM,17608.0128,02-Aug-22
36628LXJS,JY83AR,01-Jul-22,Non Marine,OM,167941.228,05-Aug-22
36629BHHM,QH84DG,31-Mar-21,Non Marine,OM,134361.2634,13-Aug-21
36629FUDD,QI79SJ,01-Jan-21,Energy,OM,158995.4548,28-Feb-21
36634TWDG,HO66DJ,01-Jul-22,Retail,OM,36996.3132,06-Sep-22
36635EKUX,MZ79LE,01-Jul-22,Const,OM,16824.2382,29-Sep-22
36646UJIE,OL88KN,18-May-21,Non Marine,OM,95289.8492,17-Oct-21
36664VYBT,IZ83UA,01-Dec-21,Infra,OM,92120.6664,07-May-22
36693GWWZ,QK67RS,10-Apr-21,Non Marine,OM,164310.328,11-May-21
36715MQWX,XC69MS,01-Jan-22,Retail,CVR,85534.7136,21-Mar-22
36722WGJB,KL84PS,01-Jan-21,Non Marine,OM,123996.264,04-May-21
36730VNGK,TT89WN,31-Aug-22,Property,OM,138670.1568,10-Nov-22
36738HFCK,ZV68UK,30-Sep-22,Const,OM,12103.98,29-Nov-22
36759XPKO,IG72WK,26-Jun-22,Property,OM,137823.084,31-Jul-22
36778AEVL,XT89SO,01-Nov-21,Non Marine,OM,57181.3242,14-Feb-22
36780XGOU,BS74IW,20-May-21,Non Marine,OM,87638.4012,22-Oct-21
36793KLAE,XM87JQ,01-Apr-21,Casualty,OM,109564.2352,01-Jun-21
36796MKOX,LG90WL,30-Sep-21,Property,OM,81872.1792,09-Feb-22
36797WPKN,LN72NP,05-Dec-21,Retail,OM,63046.095,13-May-22
36810WHQK,CU86MG,31-Jul-21,Property,OM,24171.896,20-Sep-21
36829IBMZ,UX77FJ,01-Jan-21,Property,OM,88034.1056,04-Feb-21
36864FOJW,FX87HM,28-Feb-21,Property,OM,169505.8176,24-Oct-21
36866LUUT,FT88QO,01-Oct-21,Property,OM,184934.771,17-Jan-22
36895XFZE,RL87FF,01-Oct-21,Non Marine,OM,86649.0912,23-Dec-21
36900AZLY,RQ81CW,01-Jul-21,Non Marine,OM,84356.979,03-Sep-21
36918WZFF,UB79QP,01-Jan-22,Infra,ELT,170938.7932,04-Mar-22
36936PIVQ,HZ69XY,01-Oct-21,Non Marine,OM,18540.6102,24-Nov-21
36954DRBM,FQ67WK,29-Nov-21,Const,OM,108651.8552,10-Jan-22
36980ATFE,IF68HA,01-Sep-21,Property,OM,39896.535,19-Apr-22
36985NRIH,PL65BD,11-Aug-21,Infra,OM,76802.2864,24-Mar-22
37014SEIO,MW86TR,06-Aug-21,Property,OM,28366.639,03-Jan-22
37039OAEG,QW76IM,01-Jul-21,Casualty,OM,112021.0952,20-Dec-21
37062CKNB,HI81EO,01-Jan-22,Non Marine,BON,121682.8368,03-Feb-22
37071PFHD,YE82AE,09-Jan-21,Non Marine,OM,111594.5502,14-May-21
37084TDDI,UQ86QF,01-May-21,Property,OM,28165.6508,16-Jul-21
37098VHIE,UB69OU,01-Mar-21,Non Marine,OM,16452.632,13-Aug-21
37135TRVO,NP83ER,25-Oct-21,Non Marine,OM,182841.9124,14-May-22
37138HQXR,OG83FK,27-Jun-22,Aviation,OM,121404.0366,24-Aug-22
37172VJWD,YL70TR,28-Sep-21,Non Marine,OM,47504.9022,10-Feb-22
37176SFWI,AL86MQ,01-Jan-21,Non Marine,OM,139674.9312,24-Jul-21
37183VYXI,CS65AV,27-May-22,Infra,OM,128628.0772,16-Jul-22
37194MSNU,BO88TM,01-Jul-21,Non Marine,OM,176512.6608,31-Oct-21
37199RJHN,YL88KL,31-May-21,Infra,OM,51916.3428,25-Aug-21
37204RVTJ,ZV68EA,01-Jan-21,Casualty,ELT,156412.802,05-May-21
37245NTKZ,SI70RG,30-Apr-22,Casualty,OM,23066.6226,24-Jun-22
37303IHSP,QW76IM,01-Oct-21,Casualty,OM,39707.738,28-Apr-22
37309DYOP,PN79AD,31-Dec-21,Aero,OM,140743.3664,03-Sep-22
37310SQRZ,HR90RW,01-Oct-22,Non Marine,OM,9584.8998,12-Oct-22
37347GTRS,WW90OK,01-Jan-21,Non Marine,PRT,101159.0202,12-Apr-21
37349CVGH,WB70TQ,01-Apr-22,Non Marine,PRT,29688.659,09-Jun-22
37354HQSM,OG88WN,01-Apr-22,Non Marine,OM,91835.702,23-Jun-22
37358HWHE,CO80VK,01-Oct-22,Property,OM,61460.896,06-Oct-22
37362GSDU,KE75NA,31-May-21,Const,OM,138369.1008,15-Dec-21
37371HZCP,TE89XS,20-Dec-21,Infra,OM,147009.702,06-Jun-22
37390EGQH,PI87QE,07-Feb-21,Infra,OM,19608.8984,07-Aug-21
37447GDDI,OV81VM,05-Oct-21,Infra,OM,19571.4624,04-May-22
37485HAST,FX87HM,01-Apr-21,Property,OM,149971.0464,16-Jul-21
37492NAHQ,PE88NZ,01-Jan-21,Non Marine,OM,183993.53,20-Mar-21
37494OKBK,LP65BJ,01-Feb-21,Infra,OM,148533.749,19-Sep-21
37506UDPW,RW79IT,07-Sep-21,Const,OM,120910.2636,15-Nov-21
37536ZLNC,OE65SP,11-Apr-22,Retail,OM,141495.3008,29-Jun-22
37541LOFF,JV68YK,30-Jun-21,Property,OM,61688.3736,12-Nov-21
37563OQKC,BW68ER,31-Jan-22,Non Marine,OM,175637.0896,21-Apr-22
37623HSAY,XJ78BM,01-Aug-21,Marine,OM,48564.2528,10-Feb-22
37645LZWJ,TO73NI,01-Jul-22,Casualty,OM,150427.9322,27-Aug-22
37669RDQU,SA75HH,02-Jun-22,Infra,OM,11426.8784,17-Aug-22
37684FQIH,RF77OP,30-Mar-21,Non Marine,OM,91153.2006,21-Oct-21
37692LDGL,LJ76UW,20-Sep-22,Aviation,CVR,89904.514,20-Nov-22
37701ALVT,QG76HF,01-Nov-21,Retail,OM,138181.7052,30-Jun-22
37735AGNC,LH80MF,01-Dec-21,Aviation,OM,135101.4574,04-Jan-22
37753BZKK,IT70SF,26-Mar-21,Infra,OM,76852.1684,11-Nov-21
37792DADH,KE69GH,01-Apr-22,Casualty,ELT,157250.1336,26-Jun-22
37823IGWC,ZM83XK,01-Apr-22,Retail,OM,157801.4032,08-May-22
37843ZFNK,QC67CS,31-Jul-22,Retail,OM,100573.48,04-Sep-22
37910KVUW,EK84IW,01-Jun-22,Non Marine,OM,74910.3376,05-Aug-22
37932WUYE,YF81DT,19-Mar-22,Accident,OM,91224.5936,19-May-22
37970CHCH,QW84MO,01-Apr-21,Infra,ELT,145588.9568,08-Jul-21
37986EXXR,IY81NQ,01-Jan-22,Aviation,ELT,35105.658,14-Feb-22
38040WRWN,LI65PI,01-Jun-22,Property,OM,140657.6556,16-Aug-22
38043SYAP,WV87QG,01-Mar-21,Non Marine,OM,150181.4916,13-Jul-21
38069ZEWB,EC67PJ,01-May-21,Non Marine,OM,119974.7458,11-Sep-21
38084RLQR,PX68DP,31-Aug-21,Property,OM,154695.4794,05-Feb-22
38088UPSJ,RM71AS,01-Mar-21,Non Marine,OM,27819.701,18-Jul-21
38107JDHQ,FT66HU,01-Nov-21,Non Marine,OM,62847.0276,06-Feb-22
38116MUXL,BI71AH,23-Aug-22,Property,OM,132235.3494,16-Oct-22
38126FLRO,KI88NZ,01-Jun-22,Property,OM,142020.7866,03-Aug-22
38134FDLF,GU77WE,01-Feb-21,Retail,OM,59180.5536,28-Apr-21
38200EFBX,FR85CG,30-Jan-21,Casualty,OM,59537.0286,17-Jun-21
38200RAUP,EK71VP,24-Jun-22,Retail,OM,84332.773,07-Sep-22
38211JXGR,TO73NI,01-Jul-22,Casualty,OM,108279.9942,26-Aug-22
38233AWQG,TZ83BF,01-Oct-22,Non Marine,OM,118131.3952,14-Nov-22
38265AWRE,ZY83OH,31-Jan-21,Property,OM,148377.684,12-Apr-21
38268VBRM,LB75UY,07-May-21,Aviation,OM,127097.4152,17-Jul-21
38297HOXQ,LV67AH,01-Oct-22,Aviation,OM,115537.1,19-Oct-22
38320WIIO,JP83VH,01-Jan-21,Aviation,OM,149446.6974,30-May-21
38334IWUV,YR79TK,01-Apr-21,Non Marine,OM,179109.5922,12-Nov-21
38351IWCG,QL84CK,01-Jan-21,Non Marine,OM,114026.4398,08-Jun-21
38385EMIN,SX76PO,01-Jun-22,Non Marine,OM,122874.556,04-Aug-22
38415SRHV,QL84CK,01-Feb-22,Non Marine,OM,89038.3116,17-Apr-22
38465TBOY,ME86XD,01-Jan-22,Non Marine,OM,166619.2374,25-Feb-22
38484VDPP,TJ72CM,31-Dec-21,Const,OM,57745.275,01-Aug-22
38485FSHG,TZ83BF,15-Nov-21,Non Marine,OM,47219.389,19-Mar-22
38548XAUM,UF67WM,19-Mar-22,Non Marine,OM,119541.9484,19-Apr-22
38597GBZN,AI73MV,01-Jan-21,Const,ELT,24804.192,19-Jul-21
38617QMUE,BL75OL,01-Jan-21,Non Marine,OM,103739.5268,22-Aug-21
38634ECTY,JL82PH,14-Sep-22,Energy,OM,55549.046,23-Nov-22
38667RUTP,AF77ZT,01-Jan-22,Const,OM,137016.2304,04-Feb-22
38684XXOM,QW76IM,01-Feb-22,Casualty,OM,116054.8536,29-Mar-22
38686QGYZ,BR83VF,31-Oct-22,Const,OM,98330.7402,29-Nov-22
38718XDRU,JH69QW,01-Oct-22,Non Marine,OM,160710.151,05-Nov-22
38762IAGF,HU77ET,22-Apr-22,Aviation,OM,76150.2042,20-Jun-22
38772QSTT,PD81IN,18-Oct-21,Non Marine,OM,184240.539,23-Apr-22
38821OHNT,CT87OW,01-Oct-22,Infra,OM,100179.4808,22-Nov-22
38840LAFZ,YJ70OM,30-Apr-21,Non Marine,OM,136926.0018,21-Jul-21
38918RVCV,WJ73YU,01-Jul-22,Non Marine,OM,163579.9928,07-Aug-22
38944BAIR,IO70GF,01-Jul-22,Non Marine,OM,124113.1584,22-Aug-22
38972LXOY,PE84FX,01-Apr-22,Non Marine,ELT,127150.1686,19-Jun-22
39001COJI,QW76IM,14-Sep-21,Non Marine,OM,13347.453,06-May-22
39021IHVE,MH65TN,31-Dec-21,Non Marine,OM,167294.183,10-Mar-22
39022OAEI,PX68DP,01-Jul-21,Retail,OM,18912.187,01-Dec-21
39058AGDI,SS68JG,04-Aug-21,Non Marine,OM,108878.588,06-Jan-22
39084XMGS,CS76LS,01-Jan-21,Non Marine,ELT,130596.3288,10-Jun-21
39095UESC,PX87ZF,01-Jul-21,Energy,OM,66650.7996,25-Nov-21
39105SZFI,XB70ID,01-Jun-21,Non Marine,OM,44428.251,26-Dec-21
39111EWUK,EH90PI,01-Mar-22,Non Marine,OM,42322.0644,26-May-22
39115GVBR,TZ83BF,01-Oct-22,Non Marine,OM,112889.336,05-Oct-22
39135NPOL,VI74EK,01-Mar-21,Non Marine,OM,153137.3382,16-May-21
39135UNNZ,FR85CG,01-Jan-21,Casualty,OM,102749.3544,31-Aug-21
39146RURT,MF67JB,01-Oct-21,Aviation,OM,78680.6132,02-Mar-22
39149ZDAH,JB87WL,05-May-22,Const,OM,109423.86,28-Jul-22
39159PZWS,KA73TK,01-Sep-21,Property,OM,52649.128,10-Mar-22
39163FXOI,TT89WN,01-Nov-22,Property,OM,48283.7376,13-Nov-22
39165LBSN,LG90WL,01-Jul-21,Energy,OM,68583.879,12-Oct-21
39172URFY,XQ84PZ,26-Sep-22,Non Marine,OM,123447.2484,09-Oct-22
39219RYCV,JP65EJ,22-Aug-22,Const,OM,145733.0168,19-Oct-22
39226TVRT,NP83ER,14-Feb-22,Non Marine,OM,136110.9848,10-May-22
